Area,Total_Wards,higher education in 30 mins,access to library in 30 mins,access to doctor in 30 mins,access to firebrigade in 30 mins,access to entertainment in 30 mins,access to shopping mall in 30 mins
Taplejung,61.0,9.0,9.0,3.0,10.0,15.0,0.0
Phaktanlung Gaunpalika,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikwakhola Gaunpalika,5.0,0.0,1.0,0.0,1.0,0.0,0.0
Meringden Gaunpalika,6.0,0.0,1.0,0.0,1.0,3.0,0.0
Maiwakhola Gaunpalika,6.0,2.0,2.0,0.0,0.0,1.0,0.0
Aatharai Tribeni Gaunpalika,5.0,1.0,1.0,1.0,0.0,2.0,0.0
Phungling Municipality,11.0,3.0,2.0,2.0,7.0,6.0,0.0
Pathivara Yangwarak Gaunpalika,6.0,0.0,0.0,0.0,1.0,2.0,0.0
Sirijanga Gaunpalika,8.0,1.0,2.0,0.0,0.0,1.0,0.0
Sankhuwasabha,76.0,20.0,11.0,9.0,5.0,23.0,0.0
Bhotkhola Gaunpalika,5.0,0.0,1.0,0.0,0.0,0.0,0.0
Makalu Gaunpalika,6.0,0.0,0.0,1.0,0.0,1.0,0.0
Silichong Gaunpalika,5.0,0.0,1.0,0.0,0.0,1.0,0.0
Chichila Gaunpalika,5.0,1.0,1.0,0.0,0.0,1.0,0.0
Sabhapokhari Gaunpalika,6.0,4.0,1.0,0.0,0.0,2.0,0.0
Khandabari Municipality,11.0,4.0,2.0,3.0,5.0,7.0,0.0
Panchakhapan Municipality,9.0,2.0,1.0,0.0,0.0,3.0,0.0
Chainapur Municipality,11.0,4.0,2.0,4.0,0.0,2.0,0.0
Madi Municipality,9.0,2.0,2.0,0.0,0.0,3.0,0.0
Solukhumbu,52.0,12.0,6.0,9.0,4.0,8.0,0.0
Khumbu Pasanglhamu Gaunpalika,5.0,2.0,1.0,2.0,1.0,1.0,0.0
Mahakulung Gaunpalika,5.0,1.0,1.0,1.0,0.0,1.0,0.0
Sotang Gaunpalika,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Mapya Dudhkoshi Gaunpalika,7.0,2.0,0.0,1.0,0.0,2.0,0.0
Thulung Dudhkoshi Gaunpalika,9.0,1.0,1.0,1.0,0.0,0.0,0.0
Necha Salyan Gaunpalika,5.0,3.0,0.0,0.0,0.0,1.0,0.0
Solu Dhudhakunda Municipality,11.0,2.0,1.0,2.0,3.0,3.0,0.0
Okhaldhunga,75.0,21.0,8.0,13.0,2.0,20.0,1.0
Chishankhu Gadhi Gaunpalika,8.0,1.0,0.0,0.0,0.0,1.0,0.0
Siddhicharan Municipality,12.0,4.0,1.0,2.0,2.0,1.0,0.0
Molung Gaunpalika,8.0,2.0,1.0,1.0,0.0,2.0,0.0
Khiji Demba Gaunpalika,9.0,2.0,0.0,1.0,0.0,2.0,0.0
Likhu Gaunpalika,9.0,3.0,1.0,2.0,0.0,1.0,1.0
Champadevi Gaunpalika,10.0,4.0,1.0,3.0,0.0,4.0,0.0
Sunkoshi Gaunpalika,10.0,2.0,0.0,0.0,0.0,2.0,0.0
Khotang,79.0,20.0,12.0,11.0,4.0,20.0,1.0
Kepilasgadhi Gaunpalika,7.0,0.0,0.0,0.0,0.0,1.0,0.0
Aiselukharka Gaunpalika,7.0,1.0,2.0,2.0,0.0,3.0,0.0
Rawa Besi Gaunpalika,6.0,1.0,1.0,0.0,0.0,0.0,0.0
Halesi Tuwachung Municipality,11.0,5.0,4.0,1.0,0.0,1.0,0.0
Diktel Rupakot Majhuwagadhi Municipality,15.0,7.0,2.0,5.0,2.0,8.0,1.0
Sakela Gaunpalika,5.0,1.0,0.0,1.0,0.0,1.0,0.0
Diprung Chuichumma Gaunpalika,7.0,1.0,1.0,0.0,0.0,2.0,0.0
Khotehang Gaunpalika,9.0,2.0,1.0,1.0,2.0,3.0,0.0
Jante Dhunga Gaunpalika,6.0,1.0,1.0,1.0,0.0,1.0,0.0
Bhojpur,81.0,14.0,11.0,8.0,9.0,18.0,0.0
Shadananda Municipality,14.0,2.0,0.0,1.0,0.0,2.0,0.0
Salpa Silichho Gaunpalika,6.0,3.0,0.0,1.0,0.0,1.0,0.0
Temkemaiyum Gaunpalika,9.0,1.0,3.0,0.0,0.0,5.0,0.0
Bhojpur Municipality,12.0,4.0,3.0,2.0,5.0,3.0,0.0
Arun Gaunpalika,7.0,3.0,1.0,1.0,0.0,0.0,0.0
Pauwa Dunma Gaunpalika,6.0,0.0,1.0,1.0,0.0,2.0,0.0
Ramprasad Rai Gaunpalika,8.0,1.0,1.0,1.0,0.0,1.0,0.0
Hatuwagadhi Gaunpalika,9.0,0.0,1.0,1.0,4.0,1.0,0.0
Dhankuta,60.0,18.0,11.0,8.0,6.0,30.0,4.0
Mahalaxmi Municipality,9.0,3.0,1.0,0.0,0.0,3.0,0.0
Pakhribas Municipality,10.0,3.0,3.0,2.0,0.0,6.0,0.0
Chhathar Jorpati Gaunpalika,6.0,2.0,2.0,2.0,0.0,2.0,0.0
Dhankuta Municipality,10.0,8.0,3.0,3.0,6.0,7.0,3.0
Shahidbhumi Gaunpalika,7.0,0.0,1.0,0.0,0.0,5.0,1.0
Sangurigadhi Gaunpalika,10.0,0.0,1.0,1.0,0.0,4.0,0.0
Terhathum,43.0,14.0,10.0,10.0,11.0,7.0,0.0
Aatharai Gaunpalika,7.0,2.0,2.0,1.0,2.0,0.0,0.0
Phedap Gaunpalika,5.0,1.0,1.0,1.0,0.0,0.0,0.0
Menchhayayem Gaunpalika,6.0,2.0,2.0,1.0,0.0,0.0,0.0
Myanglung Municipality,10.0,5.0,1.0,4.0,6.0,2.0,0.0
Laligurans Municipality,9.0,3.0,4.0,2.0,3.0,4.0,0.0
Panchthar,60.0,24.0,11.0,5.0,3.0,18.0,2.0
Yangbarak Gaunpalika,6.0,1.0,1.0,0.0,0.0,1.0,0.0
Hilihan Gaunpalika,7.0,1.0,1.0,0.0,0.0,3.0,0.0
Falelung Gaunpalika,8.0,1.0,0.0,0.0,0.0,1.0,0.0
Phidim Municipality,14.0,8.0,3.0,2.0,3.0,6.0,2.0
Falgunanda Gaunpalika,7.0,4.0,4.0,2.0,0.0,2.0,0.0
Kummayak Gaunpalika,5.0,4.0,1.0,1.0,0.0,3.0,0.0
Tumbewa Gaunpalika,5.0,1.0,0.0,0.0,0.0,1.0,0.0
Ilam,81.0,25.0,12.0,15.0,15.0,30.0,2.0
Mai Jogmai Gaunpalika,6.0,1.0,0.0,1.0,0.0,1.0,0.0
Sandakpur Gaunpalika,5.0,1.0,1.0,0.0,0.0,2.0,0.0
Illam Municipality,12.0,5.0,5.0,4.0,5.0,5.0,2.0
Deumai Municipality,9.0,3.0,1.0,1.0,2.0,2.0,0.0
Fakfokathum Gaunpalika,7.0,2.0,1.0,1.0,1.0,2.0,0.0
Mangsebung Gaunpalika,6.0,1.0,0.0,0.0,0.0,2.0,0.0
Chulachuli Gaunpalika,6.0,0.0,1.0,0.0,2.0,3.0,0.0
Mai Municipality,10.0,5.0,2.0,3.0,0.0,3.0,0.0
Suryodaya Municipality,14.0,6.0,1.0,4.0,5.0,7.0,0.0
Jhapa,131.0,73.0,48.0,46.0,43.0,56.0,23.0
Mechinagar Municipality,15.0,9.0,7.0,7.0,7.0,9.0,5.0
Buddhashanti Gaunpalika,7.0,3.0,0.0,2.0,0.0,0.0,3.0
Arjundhara Municipality,11.0,5.0,4.0,4.0,1.0,9.0,2.0
Kankai Municipality,9.0,4.0,4.0,3.0,1.0,6.0,0.0
Shivasatakshi Municipality,11.0,3.0,3.0,1.0,1.0,4.0,0.0
Kamal Gaunpalika,7.0,3.0,1.0,2.0,5.0,4.0,0.0
Damak Municipality,10.0,9.0,8.0,8.0,8.0,5.0,4.0
Gauradaha Municipality,9.0,7.0,6.0,4.0,6.0,0.0,0.0
Gauriganj Gaunpalika,6.0,2.0,1.0,0.0,0.0,1.0,0.0
Jhapa Gaunpalika,7.0,3.0,2.0,0.0,0.0,2.0,0.0
Barhadashi Gaunpalika,7.0,3.0,3.0,1.0,0.0,2.0,2.0
Birtamod Municipality,10.0,8.0,0.0,5.0,7.0,5.0,3.0
Haldibari Gaunpalika,5.0,2.0,2.0,1.0,0.0,3.0,0.0
Bhadrapur Municipality,10.0,9.0,5.0,6.0,6.0,6.0,4.0
Morang,159.0,86.0,52.0,64.0,61.0,76.0,39.0
Miklajung Gaunpalika,9.0,1.0,4.0,1.0,0.0,5.0,2.0
Letang Municipality,9.0,3.0,4.0,5.0,7.0,6.0,2.0
Kerabari Gaunpalika,10.0,5.0,3.0,3.0,1.0,3.0,0.0
Sundarharaicha Municipality,12.0,10.0,5.0,9.0,9.0,8.0,3.0
Belbari Municipality,11.0,6.0,4.0,5.0,5.0,7.0,6.0
Kanepokhari Gaunpalika,7.0,4.0,3.0,2.0,6.0,5.0,0.0
Pathari Shanishchare Municipality,10.0,6.0,3.0,5.0,1.0,5.0,1.0
Urlabari Municipality,9.0,7.0,4.0,5.0,8.0,6.0,3.0
Ratuwamai Municipality,10.0,2.0,1.0,2.0,0.0,2.0,0.0
